hour,day_of_week,avg_speed_kmh,target_speed,percentile_used,min_speed_mean,max_speed_mean,total_vehicles,traffic_density,speed_factor
9.0,1.0,27.0,27,19,20.00162557093762,102.53847920771086,16690150.0,61.42857142857143,0.38571428571428573
9.0,2.0,27.0,27,19,20.047989545289322,101.99710937635227,17270332.0,61.42857142857143,0.38571428571428573
9.0,3.0,27.0,27,19,19.873493779717318,102.39194294274735,18545042.0,61.42857142857143,0.38571428571428573
9.0,4.0,27.0,27,18,19.92604343165393,102.47287250596494,17635560.0,61.42857142857143,0.38571428571428573
9.0,5.0,27.0,27,14,20.55025549152333,104.0172710504717,14833397.0,61.42857142857143,0.38571428571428573
9.0,6.0,27.0,27,10,25.543116606267322,104.935894265615,7221702.0,61.42857142857143,0.38571428571428573
10.0,0.0,40.0,40,37,20.390939394462773,102.02202974144632,16430491.0,42.85714285714286,0.5714285714285714
10.0,1.0,40.0,40,39,19.892566869931255,102.19456039252715,16786486.0,42.85714285714286,0.5714285714285714
10.0,2.0,40.0,40,39,20.0085269775929,101.4580699281347,16842370.0,42.85714285714286,0.5714285714285714
10.0,3.0,40.0,40,39,19.789352312694938,101.67322815050767,18182745.0,42.85714285714286,0.5714285714285714
10.0,4.0,40.0,40,38,19.87361018720897,101.58163503321728,17428365.0,42.85714285714286,0.5714285714285714
10.0,5.0,40.0,40,34,20.280318459544528,102.8447818305252,14799996.0,42.85714285714286,0.5714285714285714
10.0,6.0,40.0,40,30,24.754576790501723,104.80164262309034,7718782.0,42.85714285714286,0.5714285714285714
11.0,0.0,42.0,42,39,20.33322102425876,101.87006703987836,16301707.0,40.0,0.6
11.0,1.0,42.0,42,40,20.165444979884168,101.65193863566029,16297595.0,40.0,0.6
11.0,2.0,42.0,42,40,20.050434767576537,100.96443203623352,16433125.0,40.0,0.6
11.0,3.0,42.0,42,41,19.75875109795374,101.44069423208302,18133052.0,40.0,0.6
11.0,4.0,42.0,42,40,19.88925661254504,101.11219507979987,17053907.0,40.0,0.6
11.0,5.0,42.0,42,38,20.150269440745085,102.33923956854203,14698562.0,40.0,0.6
11.0,6.0,42.0,42,33,24.302430732619413,104.31879143294238,8156984.0,40.0,0.6
12.0,0.0,41.0,41,38,20.44342412451362,101.5489148292261,16420381.0,41.42857142857142,0.5857142857142857
12.0,1.0,41.0,41,39,19.983236871823827,101.91957227555054,16769550.0,41.42857142857142,0.5857142857142857
12.0,2.0,41.0,41,39,20.290519904134833,100.76179063670736,16406425.0,41.42857142857142,0.5857142857142857
12.0,3.0,41.0,41,40,19.907831927852907,101.33726650999016,18286130.0,41.42857142857142,0.5857142857142857
12.0,4.0,41.0,41,40,19.87001632787055,101.25345347420802,17334596.0,41.42857142857142,0.5857142857142857
12.0,5.0,41.0,41,39,20.02195040214477,101.86130414844081,14951831.0,41.42857142857142,0.5857142857142857
12.0,6.0,41.0,41,34,23.80161489099486,103.46297224937317,9045888.0,41.42857142857142,0.5857142857142857
13.0,0.0,40.0,40,37,20.354578298674134,101.06862694255734,16528943.0,42.85714285714286,0.5714285714285714
13.0,1.0,40.0,40,38,20.101363042480312,101.12247960733077,16405380.0,42.85714285714286,0.5714285714285714
13.0,2.0,40.0,40,38,20.322789136246833,100.33244503664224,16107677.0,42.85714285714286,0.5714285714285714
13.0,3.0,40.0,40,39,19.946616321083297,100.9895348458709,18163879.0,42.85714285714286,0.5714285714285714
13.0,4.0,40.0,40,37,20.142665837264353,102.27543932403711,16739909.0,42.85714285714286,0.5714285714285714
13.0,5.0,40.0,40,40,19.938069023925472,101.25750758698567,15091422.0,42.85714285714286,0.5714285714285714
13.0,6.0,40.0,40,35,23.252116226389386,102.59579650162655,10235693.0,42.85714285714286,0.5714285714285714
14.0,0.0,39.0,39,37,20.07801688018867,100.20526620420364,16478400.0,44.285714285714285,0.5571428571428572
14.0,1.0,39.0,39,38,19.862706509460605,100.3279440835922,16249632.0,44.285714285714285,0.5571428571428572
14.0,2.0,39.0,39,39,19.96034099653297,99.78302107019653,16520978.0,44.285714285714285,0.5571428571428572
14.0,3.0,39.0,39,39,19.73927269175674,99.90321005339237,18056865.0,44.285714285714285,0.5571428571428572
14.0,4.0,39.0,39,38,19.7208066105416,100.1492817259322,16983297.0,44.285714285714285,0.5571428571428572
14.0,5.0,39.0,39,40,19.621978758688826,100.5566229137998,14934048.0,44.285714285714285,0.5571428571428572
14.0,6.0,39.0,39,35,22.569755831121505,102.04836438428649,10512013.0,44.285714285714285,0.5571428571428572
15.0,0.0,32.0,32,28,20.067699146264022,99.89181013194101,16454427.0,54.28571428571429,0.45714285714285713
15.0,1.0,32.0,32,29,19.844967195599,99.96764594205587,16570654.0,54.28571428571429,0.45714285714285713
15.0,2.0,32.0,32,30,19.882171306987726,99.3697120665646,16813153.0,54.28571428571429,0.45714285714285713
15.0,3.0,32.0,32,30,19.819602827219043,99.40076079102333,17827208.0,54.28571428571429,0.45714285714285713
15.0,4.0,32.0,32,31,19.55450261553759,99.09611344083697,17284917.0,54.28571428571429,0.45714285714285713
15.0,5.0,32.0,32,30,19.69057176381329,100.56565888258595,14824441.0,54.28571428571429,0.45714285714285713
15.0,6.0,32.0,32,26,22.50766337564645,101.81455742189169,11028834.0,54.28571428571429,0.45714285714285713
16.0,0.0,28.0,28,23,20.262203505616423,100.15853099625572,16982723.0,60.0,0.4
16.0,1.0,28.0,28,24,20.108487313234903,99.71914065953497,16614308.0,60.0,0.4
16.0,2.0,28.0,28,25,19.983776347212128,99.54983906136434,16977767.0,60.0,0.4
16.0,3.0,28.0,28,25,20.00375993012519,99.0840161377532,17959505.0,60.0,0.4
16.0,4.0,28.0,28,26,19.53011829407492,99.08055757324202,17406765.0,60.0,0.4
16.0,5.0,28.0,28,23,20.160732254135258,101.19372605786714,14453972.0,60.0,0.4
16.0,6.0,28.0,28,20,22.749564201866846,101.93725365598138,10773658.0,60.0,0.4
17.0,0.0,23.0,23,15,20.3168567697749,100.03253227717292,18672956.0,67.14285714285715,0.32857142857142857
17.0,1.0,23.0,23,16,19.7870084637179,99.88139967155722,17993805.0,67.14285714285715,0.32857142857142857
17.0,2.0,23.0,23,16,19.977407374657354,99.20014148023698,17877468.0,67.14285714285715,0.32857142857142857
17.0,3.0,23.0,23,16,19.582052498686686,99.42815746216807,19990189.0,67.14285714285715,0.32857142857142857
17.0,4.0,23.0,23,17,19.372627302035948,98.85685642361878,18680354.0,67.14285714285715,0.32857142857142857
17.0,5.0,23.0,23,13,20.58217122683142,101.47810238305384,13607495.0,67.14285714285715,0.32857142857142857
17.0,6.0,23.0,23,11,22.71965857092573,102.4530271031327,10213826.0,67.14285714285715,0.32857142857142857
18.0,0.0,18.0,18,6,20.322899434421473,99.4903990230129,18573273.0,74.28571428571429,0.2571428571428571
18.0,1.0,18.0,18,6,19.769572519911144,99.66914088602337,18136775.0,74.28571428571429,0.2571428571428571
18.0,2.0,18.0,18,7,19.89603581152799,98.91093266878951,17569866.0,74.28571428571429,0.2571428571428571
18.0,3.0,18.0,18,7,19.69919831510293,98.80615191249406,19879944.0,74.28571428571429,0.2571428571428571
18.0,4.0,18.0,18,7,19.200466530006363,98.27231921962253,18679632.0,74.28571428571429,0.2571428571428571
18.0,5.0,18.0,18,5,20.910614525139664,101.64778296224763,12531517.0,74.28571428571429,0.2571428571428571
18.0,6.0,18.0,18,4,22.70710236804464,102.57138568577938,9853804.0,74.28571428571429,0.2571428571428571
19.0,0.0,25.0,25,17,20.92526979895975,102.71658776795991,16521179.0,64.28571428571428,0.35714285714285715
19.0,1.0,25.0,25,18,20.724450708297194,102.305715163342,16090400.0,64.28571428571428,0.35714285714285715
19.0,2.0,25.0,25,18,20.710077533086384,101.8567185027362,16440792.0,64.28571428571428,0.35714285714285715
19.0,3.0,25.0,25,18,20.37164631506019,101.87433965532173,17369620.0,64.28571428571428,0.35714285714285715
19.0,4.0,25.0,25,19,19.898133418177963,100.84978081804363,17036086.0,64.28571428571428,0.35714285714285715
19.0,5.0,25.0,25,15,21.724136061307114,102.40949428860613,10937417.0,64.28571428571428,0.35714285714285715
19.0,6.0,25.0,25,13,23.241372576865725,102.29603067528225,9030428.0,64.28571428571428,0.35714285714285715
20.0,0.0,38.0,38,31,21.898854382572047,103.43835260040413,12544994.0,45.714285714285715,0.5428571428571428
20.0,1.0,38.0,38,33,21.619564413548293,103.14020670019228,12251118.0,45.714285714285715,0.5428571428571428
20.0,2.0,38.0,38,33,21.610803728720533,102.95876452935084,12936645.0,45.714285714285715,0.5428571428571428
20.0,3.0,38.0,38,33,21.39045468632399,103.12642670562713,13265387.0,45.714285714285715,0.5428571428571428
20.0,4.0,38.0,38,35,21.166242743829486,101.60276509948154,13500470.0,45.714285714285715,0.5428571428571428
20.0,5.0,38.0,38,33,22.670910259776715,102.37260618791935,9634146.0,45.714285714285715,0.5428571428571428
20.0,6.0,38.0,38,31,23.408764240337863,102.26043404194911,8681885.0,45.714285714285715,0.5428571428571428
21.0,0.0,42.0,42,34,22.91261515289502,102.45842236155381,10892889.0,40.0,0.6
21.0,1.0,42.0,42,35,22.302674857084618,102.66551778451047,10889807.0,40.0,0.6
21.0,2.0,42.0,42,35,22.440111840937334,102.64448783951713,11407059.0,40.0,0.6
